tmdb_id,title,genres,avg_rating,overview,year
699,For Your Eyes Only,"Adventure, Action, Thriller",6.0058823529411764,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,1981
145135,Dark Skies,"Science Fiction, Thriller, Horror",6.374,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing eve",2013
614911,The Midnight Sky,"Science Fiction, Drama",5.528947368421052,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.,2020
775996,Outside the Wire,"Thriller, Action, Science Fiction",5.725454545454545,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",2021
3595,Ransom,"Action, Thriller",6.6875,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",1996
402897,The Death of Stalin,"Comedy, Drama, History",6.35,"When dictator Joseph Stalin dies, his parasitic cronies square off in a frantic power struggle to become the next Soviet leader. As they bumble, brawl and back-stab their way to the top, the question remains — just who is running the government?",2017
429415,Extinction,"Action, Drama, Science Fiction, Thriller",5.720588235294118,"A chief mechanic at a factory, haunted by apocalyptic nightmares, becomes a hero when Earth is invaded by a mysterious army bent on destruction.",2018
15157,Another Cinderella Story,"Comedy, Music",6.637288135593221,"A guy who danced with what could be the girl of his dreams at a costume ball only has one hint at her identity: the Zune she left behind as she rushed home in order to make her curfew. And with a once-in-a-lifetime opportunity in front of him, he set",2008
602734,Spiral: From the Book of Saw,"Horror, Crime, Mystery",5.477142857142857,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a d",2021
1911,The 13th Warrior,"Adventure, History, Action",6.976315789473685,"A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. Duri",1999
203739,Vampire Academy,"Comedy, Action, Fantasy",6.266071428571428,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe thei",2014
9678,Little Nicky,"Comedy, Fantasy",6.455263157894737,"After the lord of darkness decides he will not cede his throne to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan t",2000
6279,Sister Act 2: Back in the Habit,"Music, Comedy",6.360975609756098,"Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the schoo",1993
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,5.894444444444444,"Jesse Walsh moves with his family into the home of the lone survivor from a series of attacks by dream-stalking monster Freddy Krueger. There, Jesse is bedeviled by nightmares and inexplicably violent impulses. It turns out Freddy is out to possess h",1985
